timestamp,src,dest,freq,subtype,avg_sz,avg_rssi,std_rssi,avg_del,std_del
1549657931,8c:0d:76:64:69:31,ff:ff:ff:ff:ff:ff,31,8,193,-3,0,102406.17,104159.48
1549657934,8c:0d:76:64:69:31,ff:ff:ff:ff:ff:ff,30,8,193,-3,0,102390.69,104207.55
1549657937,8c:0d:76:64:69:31,ff:ff:ff:ff:ff:ff,31,8,193,-3,0,102396.5,104150.65
1549657937,8c:0d:76:64:69:31,90:70:65:2d:f5:af,2,5,302,-3,0,3928,0
1549657940,8c:0d:76:64:69:31,ff:ff:ff:ff:ff:ff,30,8,193,-3,0,102396.66,104210.68
1549657940,8c:0d:76:64:69:31,5c:41:5a:f8:0d:1c,5,5,302,-3,0,3606.75,4248.53
1549657943,8c:0d:76:64:69:31,ff:ff:ff:ff:ff:ff,27,8,193,-3,0,102420.46,104448.95
1549657946,8c:0d:76:64:69:31,ff:ff:ff:ff:ff:ff,28,8,193,-3,0,106192.37,109997.04
1549657946,8c:0d:76:64:69:31,90:70:65:2d:f5:af,10,5,302,-3,0,7245.11,12077.58
1549657949,8c:0d:76:64:69:31,ff:ff:ff:ff:ff:ff,25,8,193,-3,0,102396.21,104601.61
1549657952,8c:0d:76:64:69:31,ff:ff:ff:ff:ff:ff,31,8,193,-3,0,102402.27,104152.93
1549657952,8c:0d:76:64:69:31,5c:41:5a:f8:0d:1c,5,5,302,-3,0,3437.25,4059.2
1549657955,8c:0d:76:64:69:31,ff:ff:ff:ff:ff:ff,32,8,193,-3,0,102409.84,104120.51
1549657955,8c:0d:76:64:69:31,90:70:65:2d:f5:af,12,5,302,-3,0,4667.73,5694.16
1549657958,8c:0d:76:64:69:31,ff:ff:ff:ff:ff:ff,24,8,193,-3,0,106835.83,111299.39
1549657961,8c:0d:76:64:69:31,ff:ff:ff:ff:ff:ff,30,8,193,-3,0,102402.83,104217.41
1549657961,8c:0d:76:64:69:31,d0:2b:20:c6:94:dd,2,5,302,-3,0,10026,0
1549657964,8c:0d:76:64:69:31,ff:ff:ff:ff:ff:ff,31,8,193,-3,0,102399,104150.31
1549657967,8c:0d:76:64:69:31,ff:ff:ff:ff:ff:ff,30,8,193,-3,0,102398.48,104211.19
