timestamp,src,dest,src_port,dest_port,freq,avg_ttl,avg_sz,std_sz,avg_del,std_del
1551218706,174.129.216.120,192.168.1.14,443,60236,2,234,67.5,21.92,2732,0
1551218709,52.94.240.157,192.168.1.14,443,50443,1,229,40,0,0,0
1551218709,34.255.64.239,192.168.1.14,443,43005,1,235,52,0,0,0
1551218709,52.46.129.75,192.168.1.14,443,34081,126,226.6,87.03,211.07,13473.66,33575.7
1551218712,87.248.222.204,192.168.1.13,80,46672,51,56,1121.96,613.72,54304.78,96168.5
1551218712,192.168.1.254,192.168.1.1,55504,9002,6,64,80.17,65.15,13491.4,17436.23
1551218712,192.168.1.1,192.168.1.254,9002,55504,5,64,97.6,97.55,16634,19820.24
1551218715,87.248.222.204,192.168.1.13,80,46672,49,56,1058.88,632.56,60292.25,100530.65
1551218715,52.46.129.75,192.168.1.14,443,34081,1,224,93,0,0,0
1551218715,192.168.1.7,54.77.208.212,58600,8883,1,64,83,0,0,0
1551218718,54.77.208.212,192.168.1.7,8883,58600,1,237,83,0,0,0
1551218718,192.168.1.5,104.198.46.246,56590,56700,2,64,114.5,105.36,400793,0
1551218718,192.168.1.14,52.46.129.75,34081,443,2,64,46,8.49,52967,0
1551218721,192.168.1.2,31.13.90.49,49211,5222,3,64,62,17.32,73744,75503.45
1551218721,192.168.1.13,87.248.222.204,46672,80,25,64,52,0,110663.08,114452.5
1551218721,31.13.90.49,192.168.1.2,5222,49211,2,87,52,0,69417,0
1551218724,87.248.222.204,192.168.1.13,80,46672,51,56,1015.33,673.28,61250.32,105085.79
1551218724,34.249.225.142,192.168.1.8,443,47363,6,237,99,0,200801.6,190463.46
1551218724,104.198.46.246,192.168.1.5,56700,56590,1,52,40,0,0,0
1551218727,87.248.222.204,192.168.1.13,80,46672,52,56,1019.87,655.83,54228.49,98229.22
1551218727,192.168.1.8,34.249.225.142,47363,443,14,64,230.29,185.03,160764.08,290464.34
1551218727,34.249.225.142,192.168.1.8,443,47363,7,237,99,0,345026.67,379200.79
1551218730,52.95.112.20,192.168.1.13,443,40811,2,222,60.5,28.99,72807,0
1551218730,34.249.225.142,192.168.1.8,443,47363,1,237,99,0,0,0
1551218730,192.168.1.14,35.184.172.128,35794,443,2,64,58,8.49,255,0
1551218733,87.248.222.204,192.168.1.13,80,46672,23,56,680.61,697.9,128596.14,147112.3
1551218733,192.168.1.8,34.249.225.142,47363,443,2,64,228.5,249.61,19744,0
1551218733,34.249.225.142,192.168.1.8,443,47363,1,237,99,0,0,0
1551218736,192.168.1.13,52.95.112.20,40811,443,13,64,247.38,221.63,39668,37607.81
1551218736,192.168.1.8,34.249.225.142,47363,443,2,64,228.5,249.61,20536,0
1551218736,34.249.225.142,192.168.1.8,443,47363,1,237,99,0,0,0
1551218739,192.168.1.8,34.249.225.142,47363,443,6,64,228.17,192.98,502658.8,661122.85
1551218739,104.198.46.246,192.168.1.4,56700,52975,2,52,82.5,60.1,297102,0
1551218739,192.168.1.4,104.198.46.246,52975,56700,2,64,90.5,71.42,192668,0
1551218742,87.248.222.204,192.168.1.13,80,46672,5,56,53,0,605559.25,13229.1
1551218742,192.168.1.14,34.255.64.239,43005,443,2,64,67.5,21.92,269,0
1551218742,192.168.1.14,107.178.240.159,55978,443,1,64,60,0,0,0
1551218745,107.178.240.159,192.168.1.14,443,55978,7,124,501.71,669.19,29834.67,38800.77
1551218745,192.168.1.7,54.77.208.212,58600,8883,2,64,67.5,21.92,25614,0
1551218745,54.77.208.212,192.168.1.7,8883,58600,1,237,83,0,0,0
1551218748,87.248.222.204,192.168.1.13,80,46672,5,56,53,0,609124.75,2968.78
1551218748,192.168.1.14,35.190.25.25,59860,443,3,64,232.67,312.92,107420.5,151580.36
1551218748,35.190.25.25,192.168.1.14,443,59860,3,124,233.33,230.7,96254,135358.62
1551218751,87.248.222.204,192.168.1.13,80,46672,5,56,53,0,609447.25,945.28
1551218751,17.253.37.206,192.168.1.2,443,65074,17,58,961,683.82,3538,6784.57
1551218751,92.122.16.151,192.168.1.2,443,65075,5,60,679.8,748.26,3681,7113.38
1551218754,192.168.1.2,17.253.37.206,65074,443,5,64,60.8,8.67,263.75,108.6
1551218754,192.168.1.4,104.198.46.246,52975,56700,1,64,125,0,0,0
1551218754,104.198.46.246,192.168.1.4,56700,52975,1,52,40,0,0,0
1551218757,192.168.1.2,2.16.118.43,65084,443,19,64,148.95,189.74,51207.22,156657.43
1551218757,192.168.1.13,87.248.222.204,46672,80,5,64,52,0,609354.5,410.97
1551218757,17.56.48.13,192.168.1.2,443,65086,13,44,640.54,704.9,44573.33,78047.35
1551218760,87.248.222.204,192.168.1.13,80,46672,4,56,53,0,614483,12728.01
1551218760,52.216.171.187,192.168.1.2,443,65100,13,220.38,328.08,520.92,22528.33,36706.63
1551218760,54.171.246.102,192.168.1.2,443,49213,15,235,357.87,528.62,19518.43,31693.66
1551218763,87.248.222.204,192.168.1.13,80,46672,1,56,53,0,0,0
1551218763,34.249.225.142,192.168.1.8,443,47363,1,237,99,0,0,0
