timestamp,src,dest,type,freq,avg_sz,std_sz,avg_del,std_del
1549657793,0,ffff,3,7,65,0,143380.17,84217.8
1549657793,b88f,1c7c,2,1,26,0,0,0
1549657793,5408,0,2,1,26,0,0,0
1549657796,700a,0,2,13,26,0,245386.42,819.8
1549657796,ffff,ffff,0,12,0,0,267691.73,73703.09
1549657799,700a,0,2,17,26,0,184670.81,104328.12
1549657799,5408,0,2,1,26,0,0,0
1549657799,cda3,700a,1,1,68,0,0,0
1549657802,700a,0,2,11,26,0,245247.1,824.16
1549657802,0,ffff,3,1,64,0,0,0
1549657802,1c7c,ffff,3,1,64,0,0,0
1549657805,700a,0,2,11,26,0,196658.3,99050.49
1549657805,b88f,1c7c,2,1,26,0,0,0
1549657805,0,700a,1,1,104,0,0,0
1549657808,5408,0,2,4,26,0,2458.33,713.03
1549657808,cda3,700a,1,1,79,0,0,0
1549657808,9a6a,0,1,1,68,0,0,0
1549657811,700a,0,2,11,26,0,269901.2,137633.42
1549657811,11db,0,5,1,26,0,0,0
1549657811,5408,0,2,1,26,0,0,0
1549657814,700a,0,2,12,26,0,267293.36,74149.81
1549657814,ffff,ffff,0,14,0,0,226265.15,51099.87
1549657817,700a,0,2,17,26,0,184859.38,105489.02
1549657817,cda3,700a,1,2,62,4.24,242772,0
1549657817,5408,0,2,1,26,0,0,0
1549657820,1c7c,ffff,3,1,64,0,0,0
1549657820,0,ffff,3,1,64,0,0,0
1549657820,0,700a,1,1,68,0,0,0
1549657823,0,ce27,1,1,83,0,0,0
1549657823,b88f,1c7c,2,1,26,0,0,0
1549657823,5408,0,2,1,26,0,0,0
1549657826,700a,0,2,14,26,0,227134.08,65684.46
1549657826,0,cda3,1,5,80.4,8.44,162624,103994.08
1549657826,cda3,700a,1,2,86,25.46,11623,0
1549657829,700a,0,2,12,26,0,245336.82,105292.28
1549657829,0,4c10,1,1,104,0,0,0
1549657829,5408,0,2,1,26,0,0,0
1549657832,700a,0,2,11,26,0,195539.2,96748.58
1549657832,0,ffff,3,1,64,0,0,0
1549657832,0,700a,1,3,76,24.43,123400.5,129873.6
1549657835,700a,0,2,12,26,0,267251.27,73673.02
1549657835,b88f,1c7c,2,1,26,0,0,0
1549657835,1c7c,ffff,3,1,64,0,0,0
1549657838,5408,0,2,1,26,0,0,0
1549657838,700a,0,2,11,26,0,270959.9,76569.75
1549657838,700a,0,1,1,81,0,0,0
1549657868,ffff,ffff,0,10,0,0,155517.11,158970.37
1549657868,700a,0,1,1,81,0,0,0
1549657868,700a,0,2,5,26,0,297937.5,106707.17
1549657871,700a,0,2,13,26,0,244998.92,674.09
1549657871,b88f,1c7c,2,1,26,0,0,0
1549657871,5408,0,2,1,26,0,0,0
1549657874,700a,0,2,13,26,0,245457.67,782.2
